Word Index	IDF Value
236	1.618919
237	2.397071
238	2.397071
239	0.865592
240	1.999130
241	1.919949
242	0.817287
243	1.317889
244	2.397071
245	0.982097
246	2.397071
247	1.853003
248	2.698101
249	1.283127
250	2.698101
251	0.891921
252	1.743858
253	1.999130
254	0.533748
255	2.220979
256	2.220979
257	2.397071
258	1.795011
259	2.397071
260	2.397071
261	0.990530
262	1.698101
263	1.154032
264	1.698101
265	1.618919
266	2.220979
267	2.698101
268	1.795011
269	1.522009
270	2.698101
271	1.336373
272	2.096040
273	2.096040
274	1.795011
275	1.250942
276	2.397071
277	1.919949
278	2.698101
279	2.698101
280	1.584157
281	1.795011
282	0.898760
283	1.584157
284	1.283127
285	2.220979
286	2.397071
287	2.096040
288	1.551973
289	1.522009
290	1.795011
291	1.375881
292	2.698101
293	1.853003
294	1.235703
295	1.584157
296	2.397071
297	2.698101
298	1.853003
299	2.220979
300	1.317889
301	1.206739
302	1.743858
303	1.999130
304	1.795011
305	1.118317
306	1.085317
307	1.179587
308	1.283127
309	2.220979
310	1.919949
311	1.919949
312	1.129899
313	2.397071
314	2.698101
315	1.618919
316	1.919949
317	1.698101
318	2.698101
319	1.192951
320	1.493981
321	1.853003
322	2.698101
323	1.419347
324	1.795011
325	2.397071
326	1.743858
327	1.522009
328	2.397071
329	1.467652
330	1.919949
331	1.493981
332	1.853003
333	1.853003
334	2.698101
335	2.698101
336	2.698101
337	1.853003
338	1.795011
339	1.795011
340	1.044888
341	1.300161
342	1.853003
343	1.300161
344	2.698101
345	2.397071
346	1.397071
347	1.522009
348	2.698101
349	2.698101
350	2.698101
351	2.698101
352	2.096040
353	2.397071
354	1.698101
355	1.919949
356	0.373818
357	1.743858
358	2.698101
359	2.397071
360	1.999130
361	2.698101
362	2.220979
363	1.283127
364	1.584157
365	2.397071
366	0.739059
367	1.618919
368	1.442828
369	1.853003
370	0.885187
371	1.795011
372	1.656708
373	1.584157
374	1.919949
375	2.220979
376	1.919949
377	2.698101
378	1.853003
379	1.551973
380	1.206739
381	2.397071
382	1.551973
383	1.795011
384	1.743858
385	1.698101
386	1.522009
387	2.698101
388	2.698101
389	1.743858
390	2.698101
391	2.698101
392	1.698101
393	1.656708
394	2.698101
395	2.698101
396	1.235703
397	1.919949
398	2.698101
399	1.016859
400	1.141798
401	1.698101
402	2.397071
403	1.336373
404	1.551973
405	1.656708
406	2.397071
407	2.698101
408	1.743858
409	1.656708
410	1.166622
411	1.743858
412	0.846842
413	2.698101
414	2.698101
415	2.698101
416	2.397071
417	1.317889
418	1.250942
419	1.397071
420	2.698101
421	2.698101
422	1.375881
423	2.698101
424	1.355678
425	2.397071
426	2.220979
427	1.999130
428	1.355678
429	1.919949
430	1.795011
431	2.397071
432	1.999130
433	1.999130
434	1.743858
435	2.397071
436	2.698101
437	2.096040
438	1.999130
439	1.698101
440	2.698101
441	1.656708
442	2.220979
443	1.493981
444	1.375881
445	1.129899
446	1.618919
447	2.698101
448	2.698101
449	1.618919
450	2.397071
451	1.141798
452	2.698101
453	2.698101
454	1.743858
455	1.743858
456	2.397071
457	2.220979
458	2.397071
459	2.397071
460	2.698101
461	2.397071
462	1.317889
463	1.141798
464	0.872026
465	2.220979
466	0.999131
467	1.064632
468	1.795011
469	0.859251
470	2.397071
471	2.220979
472	1.064632
473	2.698101
474	1.743858
475	0.817287
476	2.698101
477	2.698101
478	2.096040
479	1.584157
480	1.999130
481	2.698101
482	2.698101
483	2.698101
484	1.085317
485	1.522009
486	2.698101
487	2.096040
488	2.698101
489	2.220979
490	1.743858
491	1.220979
492	2.397071
493	1.853003
494	2.698101
495	1.743858
496	0.516257
497	2.698101
498	1.795011
499	1.795011
500	1.618919
501	2.698101
502	2.698101
503	2.698101
504	2.698101
505	2.698101
506	2.698101
507	2.096040
508	2.220979
509	2.220979
510	2.698101
511	2.698101
512	2.397071
513	1.355678
514	1.999130
515	2.397071
516	2.698101
517	2.096040
518	2.698101
519	2.698101
520	2.698101
521	2.220979
522	1.397071
523	1.919949
524	2.698101
525	2.698101
526	2.698101
527	2.698101
528	1.919949
529	1.919949
530	2.698101
531	1.999130
532	2.698101
533	2.096040
534	1.584157
535	1.584157
536	1.493981
537	1.235703
538	1.795011
539	1.192951
540	1.795011
541	0.753618
542	2.698101
543	1.656708
544	1.419347
545	2.397071
546	2.698101
547	2.698101
548	1.096041
549	2.397071
550	2.698101
551	2.698101
552	1.999130
553	1.656708
554	1.743858
555	2.698101
556	1.336373
557	1.375881
558	2.220979
559	2.397071
560	1.853003
561	2.397071
562	2.397071
563	2.397071
564	1.419347
565	1.206739
566	1.999130
567	1.467652
568	2.397071
569	1.397071
570	1.035343
571	2.397071
572	2.397071
573	0.990530
574	1.300161
575	2.220979
576	1.919949
577	2.397071
578	2.397071
579	2.397071
580	2.397071
581	2.397071
582	1.618919
583	1.336373
584	1.074851
585	1.656708
586	2.220979
587	2.698101
588	2.698101
589	2.698101
590	1.698101
591	2.698101
592	2.698101
593	2.698101
594	1.656708
595	2.698101
596	1.016859
597	1.919949
598	1.355678
599	1.999130
600	2.698101
601	2.220979
602	1.853003
603	1.853003
604	2.698101
605	1.999130
606	2.698101
607	1.999130
608	1.419347
609	1.795011
