Doc File Name	Document Index	Norm
article-532.stem	419	0.602691
article-533.stem	420	0.318096
article-534.stem	421	0.309765
article-535.stem	422	0.337081
article-536.stem	423	0.898577
article-537.stem	424	0.404011
article-538.stem	425	0.255042
article-539.stem	426	0.379708
article-54.stem	427	0.449128
article-540.stem	428	0.725851
article-541.stem	429	0.491762
article-542.stem	430	0.319969
article-543.stem	431	0.384561
article-544.stem	432	0.438817
article-545.stem	433	0.322332
article-546.stem	434	0.262333
article-547.stem	435	0.401947
article-548.stem	436	0.336020
article-549.stem	437	0.536795
article-55.stem	438	0.244434
article-550.stem	439	0.323901
article-551.stem	440	0.337237
article-552.stem	441	1.225887
article-553.stem	442	0.421331
article-554.stem	443	0.356789
article-555.stem	444	0.962587
article-556.stem	445	0.232682
article-557.stem	446	0.401057
article-558.stem	447	0.402215
article-559.stem	448	0.422863
article-56.stem	449	0.312945
article-560.stem	450	0.000000
article-6.stem	451	0.444813
article-60.stem	452	0.477021
article-600.stem	453	0.213775
article-601.stem	454	0.518956
article-602.stem	455	0.000000
article-61.stem	456	0.430344
article-62.stem	457	0.454683
article-63.stem	458	0.370932
article-64.stem	459	0.513183
article-65.stem	460	0.411447
article-66.stem	461	0.410116
article-67.stem	462	0.338931
article-68.stem	463	0.367907
article-69.stem	464	0.337563
article-7.stem	465	0.390682
article-70.stem	466	0.563203
article-71.stem	467	0.279394
article-72.stem	468	0.448854
article-73.stem	469	0.357496
article-74.stem	470	0.366712
article-75.stem	471	0.384735
article-76.stem	472	0.286165
article-77.stem	473	0.388368
article-78.stem	474	0.308652
article-79.stem	475	0.434280
article-8.stem	476	0.530556
article-80.stem	477	0.371441
article-81.stem	478	0.392907
article-82.stem	479	0.499891
article-83.stem	480	0.387317
article-84.stem	481	0.839953
article-85.stem	482	0.377458
article-86.stem	483	0.357821
article-87.stem	484	0.309838
article-88.stem	485	0.418652
article-89.stem	486	0.269065
article-9.stem	487	0.161905
article-90.stem	488	0.617923
article-91.stem	489	0.293441
article-92.stem	490	0.544303
article-93.stem	491	0.334509
article-94.stem	492	0.288398
article-95.stem	493	0.510295
article-96.stem	494	0.347137
article-97.stem	495	0.297586
article-98.stem	496	0.378939
article-99.stem	497	1.269251
article-999.stem	498	2.063822
